H    0.37
He   0.32
Li   0.90
Be   0.50
B    0.32
C    0.77
N    0.75
O    1.26
F    1.18
Ne   0.38
Na   1.21
Mg   0.86
Al   0.60
Si   1.11
P    1.06
S    1.84
Cl   1.67
Ar   0.71
K    1.52
Ca   1.20
Sc   0.95
Ti   0.74
V    0.81
Cr   0.75
Mn   0.81
Fe   0.75
Co   0.78
Ni   0.70
Cu   0.70
Zn   0.88
Ga   0.69
Ge   1.22
As   1.19
Se   1.98
Br   1.95
Kr   0.88
Rb   1.70
Sr   1.35
Y    1.09
Zr   0.86
Nb   0.82
Mo   0.78
Tc   0.72
Ru   0.76
Rh   0.74
Pd   0.90
Ag   1.08
Cd   1.09
In   0.94
Sn   1.41
Sb   1.38
Te   2.21
I    2.06
Xe   1.08
Cs   1.85
Ba   1.52
La   1.40
Ce   1.30
Pr   1.20
Nd   1.18
Pm   1.17
Sm   1.15
Eu   1.25
Gd   1.13
Tb   1.12
Dy   1.10
Ho   1.10
Er   1.08
Tm   1.07
Yb   1.15
Lu   1.05
Hf   0.85
Ta   0.83
W    0.76
Re,  0.72
Os   0.70
Ir   0.76
Pt   0.82
Au   1.00
Hg   1.16
Tl   1.48
Pb   1.33
Bi   1.46
Po   1.08
At   0.76
Rn   1.20
