# Neutron scattering cross section data of natural elements and isotopes
# 
# Sources:
#    http://www.sisweb.com/referenc/source/exactmas.htm
# Z            charge number
# A            mass number, -1 for natural mixture of isotopes
# name         short atom name
# P            natural abundance, sum(P)=1
# bc           bound coherent scattering length (fm)
# mass         mass in g/mol
# sigma_coh    coherent cross section (barn)
# sigma_inc    incoherent cross section (barn)
# sigma_scatt  total cross section (barn)
# sigma_abs    thermal absorption cross section for thermal neutrons (barn)
#
  Z   A      P name     mass       bc  sigma_coh    sigma_inc sigma_scatt     sigma_abs
 70 168  0.001   Yb 167.9339  -4.0700     2.1300     0.000000       2.130   2230.000000
 70 170  0.031   Yb 169.9348   6.7700     5.8000     0.000000       5.800     11.400000
 70 171  0.143   Yb 170.9363   9.6600    11.7000     3.900000      15.600     48.600000
 70 172  0.219   Yb 171.9364   9.4300    11.2000     0.000000      11.200      0.800000
 70 173  0.161   Yb 172.9382   9.5600    11.5000     3.500000      15.000     17.100000
 70 174  0.318   Yb 173.9389  19.3000    46.8000     0.000000      46.800     69.400000
 70 176  0.127   Yb 175.9426   8.7200     9.6000     0.000000       9.600      2.850000
 71  -1 -1.000   Lu 174.9668   7.2100     6.5300     0.700000       7.200     74.000000
 71 175  0.974   Lu 174.9408   7.2400     6.5900     0.600000       7.200     21.000000
 71 176  0.026   Lu 175.9427   6.1000     4.7000     1.200000       5.900   2065.000000
 72  -1 -1.000   Hf 178.4898   7.7000     7.6000     2.600000      10.200    104.100000
 72 174  0.002   Hf 173.9401  10.9000    15.0000     0.000000      15.000    561.000000
 72 176  0.052   Hf 175.9414   6.6100     5.5000     0.000000       5.500     23.500000
 72 177  0.186   Hf 176.9432   0.8000     0.1000     0.100000       0.200    373.000000
 72 178  0.271   Hf 177.9437   5.9000     4.4000     0.000000       4.400     84.000000
 72 179  0.137   Hf 178.9458   7.4600     7.0000     0.140000       7.100     41.000000
 72 180  0.352   Hf 179.9466  13.2000    21.9000     0.000000      21.900     13.040000
 73  -1 -1.000   Ta 180.9479   6.9100     6.0000     0.010000       6.010     20.600000
 73 180  0.000   Ta 179.9475   7.0000     6.2000     0.500000       7.000    563.000000
 73 181  1.000   Ta 180.9480   6.9100     6.0000     0.011000       6.010     20.500000
 74  -1 -1.000    W 183.8489   4.8600     2.9700     1.630000       4.600     18.300000
 74 180  0.001    W 179.9467   5.0000     3.0000     0.000000       3.000     30.000000
 74 182  0.263    W 181.9482   6.9700     6.1000     0.000000       6.100     20.700000
 74 183  0.143    W 182.9502   6.5300     5.3600     0.300000       5.700     10.100000
 74 184  0.307    W 183.9510   7.4800     7.0300     0.000000       7.030      1.700000
 74 186  0.286    W 185.9544  -0.7200     0.0650     0.000000       0.065     37.900000
 75  -1 -1.000   Re 186.2067   9.2000    10.6000     0.900000      11.500     89.700000
 75 185  0.374   Re 184.9530   9.0000    10.2000     0.500000      10.700    112.000000
 75 187  0.626   Re 186.9558   9.3000    10.9000     1.000000      11.900     76.400000
 76  -1 -1.000   Os 190.2398  10.7000    14.4000     0.300000      14.700     16.000000
 76 184  0.000   Os 183.9525  10.0000    13.0000     0.000000      13.000   3000.000000
 76 186  0.016   Os 185.9539  11.6000    17.0000     0.000000      17.000     80.000000
 76 187  0.016   Os 186.9558  10.0000    13.0000     0.300000      13.000    320.000000
 76 188  0.133   Os 187.9558   7.6000     7.3000     0.000000       7.300      4.700000
 76 189  0.161   Os 188.9582  10.7000    14.4000     0.500000      14.900     25.000000
 76 190  0.264   Os 189.9585  11.0000    15.2000     0.000000      15.200     13.100000
 76 192  0.410   Os 191.9615  11.5000    16.6000     0.000000      16.600      2.000000
 77  -1 -1.000   Ir 192.2161  10.6000    14.1000     0.000000      14.000    425.000000
 77 191  0.373   Ir 190.9606      NaN        NaN          NaN         NaN    954.000000
 77 193  0.627   Ir 192.9629      NaN        NaN          NaN         NaN    111.000000
 78  -1 -1.000   Pt 195.0801   9.6000    11.5800     0.130000      11.710     10.300000
 78 190  0.000   Pt 189.9599   9.0000    10.0000     0.000000      10.000    152.000000
 78 192  0.008   Pt 191.9610   9.9000    12.3000     0.000000      12.300     10.000000
 78 194  0.329   Pt 193.9627  10.5500    14.0000     0.000000      14.000      1.440000
 78 195  0.338   Pt 194.9648   8.8300     9.8000     0.130000       9.900     27.500000
 78 196  0.253   Pt 195.9649   9.8900    12.3000     0.000000      12.300      0.720000
 78 198  0.072   Pt 197.9679   7.8000     7.6000     0.000000       7.600      3.660000
 79  -1  1.000   Au 196.9666   7.6300     7.3200     0.430000       7.750     98.650000
 80  -1 -1.000   Hg 200.5884  12.6920    20.2400     6.600000      26.800    372.300000
 80 196  0.002   Hg 195.9658  30.3000   115.0000     0.000000     115.000   3080.000000
 80 198  0.101   Hg 197.9668      NaN        NaN     0.000000         NaN      2.000000
 80 199  0.170   Hg 198.9683  16.9000    36.0000    30.000000      66.000   2150.000000
 80 200  0.231   Hg 199.9683      NaN        NaN     0.000000         NaN           NaN
 80 201  0.132   Hg 200.9703      NaN        NaN          NaN         NaN      7.800000
 80 202  0.296   Hg 201.9706      NaN        NaN     0.000000       9.828      4.890000
 80 204  0.068   Hg 203.9735      NaN        NaN     0.000000         NaN      0.430000
 81  -1 -1.000   Tl 204.3834   8.7760     9.6780     0.210000       9.890      3.430000
 81 203  0.295   Tl 202.9723   6.9900     6.1400     0.140000       6.280     11.400000
 81 205  0.705   Tl 204.9744   9.5200    11.3900     0.007000      11.400      0.104000
 82  -1 -1.000   Pb 207.2169   9.4050    11.1150     0.003000      11.118      0.171000
 82 204  0.014   Pb 203.9730   9.9000    12.3000     0.000000      12.300      0.650000
 82 206  0.241   Pb 205.9745   9.2200    10.6800     0.000000      10.680      0.030000
 82 207  0.221   Pb 206.9759   9.2800    10.8200     0.002000      10.820      0.699000
 82 208  0.524   Pb 207.9766   9.5000    11.3400     0.000000      11.340      0.000480
 83  -1  1.000   Bi 208.9804   8.5320     9.1480     0.008400       9.156      0.033800
 84  -1 -1.000   Po      NaN      NaN     0.0000          NaN         NaN           NaN
 85  -1 -1.000   At      NaN      NaN     0.0000          NaN         NaN           NaN
 86  -1 -1.000   Rn      NaN      NaN     0.0000          NaN      12.600           NaN
 87  -1 -1.000   Fr      NaN      NaN     0.0000          NaN         NaN           NaN
 88  -1 -1.000   Ra      NaN  10.0000    13.0000     0.000000      13.000     12.800000
 89  -1 -1.000   Ac      NaN      NaN     0.0000          NaN         NaN           NaN
 90  -1  1.000   Th 232.0381  10.3100    13.3600     0.000000      13.360      7.370000
 91  -1 -1.000   Pa      NaN   9.1000    10.4000     0.100000      10.500    200.600000
 92  -1 -1.000    U 238.0289   8.4170     8.9030     0.005000       8.908      7.570000
 92 233  0.000    U 233.0000  10.1000    12.8000     0.100000      12.900    574.700000
 92 234  0.000    U 234.0409  12.4000    19.3000     0.000000      19.300    100.100000
 92 235  0.007    U 235.0439  10.4700    13.7800     0.200000      14.000    680.900000
 92 238  0.993    U 238.0508   8.4020     8.8710     0.000000       8.871      2.680000
 93  -1 -1.000   Np      NaN  10.5500    14.0000     0.500000      14.500    175.900000
 94  -1 -1.000   Pu      NaN      NaN        NaN          NaN         NaN           NaN
 94 238  0.000   Pu 238.0000  14.1000    25.0000     0.000000      25.000    558.000000
 94 239  0.000   Pu 239.0000   7.7000     7.5000     0.200000       7.700   1017.300000
 94 240  0.000   Pu 240.0000   3.5000     1.5400     0.000000       1.540    289.600000
 94 242  0.000   Pu 242.0000   8.1000     8.2000     0.000000       8.200     18.500000
 95  -1 -1.000   Am      NaN   8.3000     8.7000     0.300000       9.000     75.300000
 96  -1 -1.000   Cm      NaN      NaN     0.0000          NaN         NaN           NaN
 96 244  0.000   Cm 244.0000   9.5000    11.3000     0.000000      11.300     16.200000
 96 246  0.000   Cm 246.0000   9.3000    10.9000     0.000000      10.900      1.360000
 96 248  0.000   Cm 248.0000   7.7000     7.5000     0.000000       7.500      3.000000
