# Neutron scattering cross section data of natural elements and isotopes
# 
# Sources:
#    http://www.sisweb.com/referenc/source/exactmas.htm
# Z            charge number
# A            mass number, -1 for natural mixture of isotopes
# name         short atom name
# P            natural abundance, sum(P)=1
# bc           bound coherent scattering length (fm)
# mass         mass in g/mol
# sigma_coh    coherent cross section (barn)
# sigma_inc    incoherent cross section (barn)
# sigma_scatt  total cross section (barn)
# sigma_abs    thermal absorption cross section for thermal neutrons (barn)
#
  Z   A      P name     mass       bc  sigma_coh    sigma_inc sigma_scatt     sigma_abs
 23  -1 -1.000    V  50.9415  -0.3824     0.0184     5.080000       5.100      5.080000
 23  50  0.003    V  49.9472   7.6000     7.3000     0.500000       7.800     60.000000
 23  51  0.998    V  50.9440  -0.4020     0.0203     5.070000       5.090      4.900000
 24  -1 -1.000   Cr  51.9959   3.6350     1.6600     1.830000       3.490      3.050000
 24  50  0.043   Cr  49.9460  -4.5000     2.5400     0.000000       2.540     15.800000
 24  52  0.838   Cr  51.9405   4.9200     3.0420     0.000000       3.042      0.760000
 24  53  0.095   Cr  52.9407  -4.2000     2.2200     5.930000       8.150     18.100000
 24  54  0.024   Cr  53.9389   4.5500     2.6000     0.000000       2.600      0.360000
 25  -1  1.000   Mn  54.9380  -3.7300     1.7500     0.400000       2.150     13.300000
 26  -1 -1.000   Fe  55.8468   9.4500    11.2200     0.400000      11.620      2.560000
 26  54  0.058   Fe  53.9396   4.2000     2.2000     0.000000       2.200      2.250000
 26  56  0.917   Fe  55.9349   9.9400    12.4200     0.000000      12.420      2.590000
 26  57  0.022   Fe  56.9354   2.3000     0.6600     0.300000       1.000      2.480000
 26  58  0.003   Fe  57.9333  15.0000    28.0000     0.000000      28.000      1.280000
 27  -1  1.000   Co  58.9332   2.4900     0.7790     4.800000       5.600     37.180000
 28  -1 -1.000   Ni  58.6879  10.3000    13.3000     5.200000      18.500      4.490000
 28  58  0.683   Ni  57.9353  14.4000    26.1000     0.000000      26.100      4.600000
 28  60  0.261   Ni  59.9308   2.8000     0.9900     0.000000       0.990      2.900000
 28  61  0.011   Ni  60.9311   7.6000     7.2600     1.900000       9.200      2.500000
 28  62  0.036   Ni  61.9283  -8.7000     9.5000     0.000000       9.500     14.500000
 28  64  0.009   Ni  63.9280  -0.3700     0.0170     0.000000       0.017      1.520000
